0-04-L08-Q02-I07	眶	ㄎㄨㄤˋ	ㄎㄨㄤ
0-04-L08-Q06-I02	踮	ㄉㄧㄢˇ	ㄉㄧㄢˋ
0-04-L08-Q07-I01	踮	ㄉㄧㄢˇ	ㄉㄧㄢˋ
0-04-L08-Q08-I06	髮	ㄈㄚˋ	ㄈㄚˇ
0-04-L09-Q03-I04	褐	ㄏㄜˋ	ㄏㄜˊ
0-04-L09-Q04-I05	不	ㄅㄨˊ	ㄅㄨˋ
0-04-L09-Q07-I02	突	ㄊㄨ	ㄊㄨˊ
0-04-L09-Q09-I00	不	ㄅㄨˊ	ㄅㄨˋ
0-04-L09-Q10-I06	干	ㄍㄢˋ	ㄍㄢ
2-01-L01-Q10-I03	一	ㄧˋ	ㄧ
2-01-L02-Q01-I02	誰	ㄕㄨㄟˊ	ㄕㄟˊ
2-01-L02-Q04-I01	個	ㄍㄜˋ	ㄍㄜ˙
2-01-L02-Q07-I04	誰	ㄕㄨㄟˊ	ㄕㄟˊ
2-01-L03-Q04-I02	一	ㄧˋ	ㄧ
2-01-L03-Q05-I03	一	ㄧˋ	ㄧ
2-01-L03-Q08-I03	一	ㄧˋ	ㄧ
2-01-L04-Q03-I02	一	ㄧˋ	ㄧ
2-01-L06-Q02-I04	一	ㄧˋ	ㄧ
2-03-L01-Q05-I00	不	ㄅㄨˊ	ㄅㄨˋ
2-03-L02-Q05-I04	似	ㄕˋ	ㄙˋ
2-03-L04-Q05-I00	不	ㄅㄨˊ	ㄅㄨˋ
2-03-L04-Q07-I02	危	ㄨㄟ	ㄨㄟˊ
2-03-L04-Q09-I06	危	ㄨㄟ	ㄨㄟˊ
2-03-L06-Q01-I04	得	ㄉㄜˊ	ㄉㄜ˙
2-03-L06-Q03-I05	應	ㄧㄥ	ㄧㄥˋ
2-03-L06-Q04-I03	髮	ㄈㄚˋ	ㄈㄚˇ
2-03-L07-Q06-I00	夕	ㄒㄧ	ㄒㄧˋ
2-03-L07-Q07-I00	夕	ㄒㄧ	ㄒㄧˋ
2-03-L08-Q07-I03	為	ㄨㄟˋ	ㄨㄟˊ
2-03-L09-Q05-I04	種	ㄓㄨㄥˇ	ㄓㄨㄥˋ
2-03-L10-Q02-I05	悄	ㄑㄧㄠ	ㄑㄧㄠˇ
2-03-L10-Q02-I06	悄	ㄑㄧㄠ	ㄑㄧㄠˇ
2-03-L10-Q03-I02	呀	ㄧㄚ˙	ㄧㄚ
2-03-L10-Q06-I03	得	ㄉㄜˊ	ㄉㄜ˙
2-03-L10-Q09-I06	頭	ㄊㄡˊ	ㄊㄡ˙
2-03-L11-Q04-I01	長	ㄓㄤˇ	ㄔㄤˊ
2-03-L11-Q08-I03	樂	ㄌㄜˋ	ㄩㄝˋ
2-02-L01-Q07-I04	為	ㄨㄟˋ	ㄨㄟˊ
2-02-L02-Q01-I02	一	ㄧˋ	ㄧ
2-02-L03-Q01-I03	叔	ㄕㄨ	ㄕㄨˊ
2-02-L03-Q01-I04	叔	ㄕㄨ	ㄕㄨ˙
2-02-L03-Q07-I01	個	ㄍㄜˋ	ㄍㄜ˙
2-02-L03-Q07-I02	模	ㄇㄛˊ	ㄇㄨˊ
2-02-L03-Q10-I00	叔	ㄕㄨ	ㄕㄨˊ
2-02-L03-Q10-I01	叔	ㄕㄨ	ㄕㄨ˙
2-02-L04-Q09-I07	息	ㄒㄧ	ㄒㄧˊ
2-02-L05-Q04-I06	划	ㄏㄨㄚˋ	ㄏㄨㄚˊ
2-02-L05-Q09-I01	個	ㄍㄜˋ	ㄍㄜ˙
2-02-L05-Q09-I07	識	ㄕˊ	ㄕ˙
2-02-L06-Q06-I01	乾	ㄑㄧㄢˊ	ㄍㄢ
