2-06-L06-Q05-I10	靡	ㄇㄧˊ	ㄇㄧˇ
2-06-L06-Q09-I03	調	ㄉㄧㄠˋ	ㄊㄧㄠˊ
2-06-L07-Q01-I04	甸	ㄉㄧㄢ	ㄉㄧㄢˋ
2-06-L07-Q08-I00	嗯	ㄣˊ	ㄣ˙
2-06-L07-Q09-I01	甸	ㄉㄧㄢ	ㄉㄧㄢˋ
2-06-L08-Q07-I02	諷	ㄈㄥˇ	ㄈㄥˋ
2-06-L08-Q08-I03	息	ㄒㄧ	ㄒㄧˊ
2-06-L08-Q09-I08	不	ㄅㄨˊ	ㄅㄨˋ
2-06-L08-Q10-I04	諷	ㄈㄥˇ	ㄈㄥˋ
2-06-L09-Q02-I01	個	ㄍㄜˋ	ㄍㄜ˙
2-06-L09-Q03-I03	率	ㄌㄩˋ	ㄕㄨㄞˋ
2-06-L11-Q04-I02	不	ㄅㄨˊ	ㄅㄨˋ
2-06-L11-Q07-I05	乾	ㄑㄧㄢˊ	ㄍㄢ
2-06-L12-Q06-I08	柵	ㄕㄢ	ㄓㄚˋ
2-06-L12-Q08-I00	悶	ㄇㄣˋ	ㄇㄣ
2-06-L12-Q08-I09	垃	ㄌㄚ	ㄌㄜˋ
2-06-L12-Q08-I10	圾	ㄐㄧ	ㄙㄜˋ
2-04-L01-Q02-I00	一	ㄧˋ	ㄧ
2-04-L01-Q03-I01	髮	ㄈㄚˋ	ㄈㄚˇ
2-04-L02-Q08-I07	樂	ㄌㄜˋ	ㄩㄝˋ
2-04-L03-Q01-I05	一	ㄧˋ	ㄧ
2-04-L03-Q05-I06	彈	ㄉㄢˋ	ㄊㄢˊ
2-04-L05-Q09-I02	盡	ㄐㄧㄣˇ	ㄐㄧㄣˋ
2-04-L05-Q10-I00	盡	ㄐㄧㄣˇ	ㄐㄧㄣˋ
2-04-L06-Q04-I04	挑	ㄊㄧㄠ	ㄊㄧㄠˇ
2-04-L06-Q07-I05	應	ㄧㄥ	ㄧㄥˋ
2-04-L06-Q09-I00	跌	ㄉㄧㄝ	ㄉㄧㄝˊ
2-04-L08-Q02-I00	長	ㄓㄤˇ	ㄔㄤˊ
2-04-L08-Q04-I09	晃	ㄏㄨㄤˇ	ㄏㄨㄤ˙
2-04-L09-Q09-I08	夕	ㄒㄧ	ㄒㄧˋ
2-04-L10-Q02-I03	頭	ㄊㄡˊ	ㄊㄡ˙
2-04-L11-Q07-I01	不	ㄅㄨˊ	ㄅㄨˋ
2-04-L12-Q01-I02	一	ㄧˋ	ㄧ
2-04-L12-Q08-I05	蹈	ㄉㄠˇ	ㄉㄠˋ
1-01-L01-Q05-I00	一	ㄧˋ	ㄧ
1-01-L01-Q10-I03	一	ㄧˋ	ㄧ
1-01-L02-Q02-I02	一	ㄧˋ	ㄧ
1-01-L06-Q05-I02	誰	ㄕㄨㄟˊ	ㄕㄟˊ
1-03-L01-Q01-I03	蝸	ㄨㄛ	ㄍㄨㄚ
1-03-L01-Q05-I00	彈	ㄉㄢˋ	ㄊㄢˊ
1-03-L01-Q09-I00	蝸	ㄨㄛ	ㄍㄨㄚ
1-03-L02-Q03-I03	覺	ㄐㄩㄝˊ	ㄐㄧㄠˋ
1-03-L02-Q09-I03	覺	ㄐㄩㄝˊ	ㄐㄧㄠˋ
1-03-L04-Q04-I04	一	ㄧˋ	ㄧ
1-03-L06-Q06-I06	削	ㄒㄩㄝ	ㄒㄧㄠ
1-03-L06-Q08-I00	削	ㄒㄩㄝ	ㄒㄧㄠ
1-03-L08-Q02-I01	一	ㄧˊ	ㄧ
1-03-L08-Q03-I02	不	ㄅㄨˊ	ㄅㄨˋ
1-03-L08-Q06-I02	一	ㄧˋ	ㄧ
1-03-L08-Q06-I05	垃	ㄌㄚ	ㄌㄜˋ
