1-06-L01-Q02-I06	晃	ㄏㄨㄤˇ	ㄏㄨㄤ˙
1-06-L02-Q01-I01	眶	ㄎㄨㄤˋ	ㄎㄨㄤ
1-06-L02-Q03-I03	一	ㄧˋ	ㄧ
1-06-L02-Q10-I00	寂	ㄐㄧˋ	ㄐㄧˊ
1-06-L02-Q10-I04	眶	ㄎㄨㄤˋ	ㄎㄨㄤ
1-06-L04-Q07-I04	藉	ㄐㄧˊ	ㄐㄧㄝˋ
1-06-L05-Q03-I07	蔭	ㄧㄣ	ㄧㄣˋ
1-06-L05-Q08-I03	種	ㄓㄨㄥˇ	ㄓㄨㄥˋ
1-06-L05-Q09-I08	蔭	ㄧㄣ	ㄧㄣˋ
1-06-L06-Q02-I05	調	ㄉㄧㄠˋ	ㄊㄧㄠˊ
1-06-L06-Q04-I00	調	ㄉㄧㄠˋ	ㄊㄧㄠˊ
1-06-L06-Q04-I03	當	ㄉㄤ	ㄉㄤˋ
1-06-L06-Q06-I00	不	ㄅㄨˊ	ㄅㄨˋ
1-06-L06-Q06-I03	諷	ㄈㄥˇ	ㄈㄥˋ
1-06-L06-Q07-I05	都	ㄉㄡ	ㄉㄨ
1-06-L08-Q03-I04	模	ㄇㄛˊ	ㄇㄨˊ
1-06-L10-Q02-I00	樸	ㄆㄨˇ	ㄆㄨˊ
1-06-L10-Q02-I04	一	ㄧˋ	ㄧ
1-06-L10-Q04-I00	夕	ㄒㄧ	ㄒㄧˋ
1-04-L01-Q02-I00	不	ㄅㄨˊ	ㄅㄨˋ
1-04-L01-Q05-I00	椰	ㄧㄝ	ㄧㄝˊ
1-04-L01-Q09-I03	椰	ㄧㄝ	ㄧㄝˊ
1-04-L02-Q04-I02	彷	ㄆㄤˊ	ㄈㄤˇ
1-04-L04-Q10-I05	為	ㄨㄟˋ	ㄨㄟˊ
1-04-L06-Q02-I03	擊	ㄐㄧ	ㄐㄧˊ
1-04-L06-Q09-I01	擊	ㄐㄧ	ㄐㄧˊ
1-04-L07-Q06-I04	調	ㄉㄧㄠˋ	ㄊㄧㄠˊ
1-04-L09-Q02-I02	不	ㄅㄨˊ	ㄅㄨˋ
1-04-L09-Q06-I00	不	ㄅㄨˊ	ㄅㄨˋ
1-04-L09-Q07-I02	散	ㄙㄢˋ	ㄙㄢˇ
1-04-L09-Q07-I04	盡	ㄐㄧㄣˇ	ㄐㄧㄣˋ
1-04-L09-Q10-I00	盡	ㄐㄧㄣˇ	ㄐㄧㄣˋ
1-04-L12-Q03-I01	樂	ㄌㄜˋ	ㄩㄝˋ
1-04-L12-Q06-I05	樂	ㄌㄜˋ	ㄩㄝˋ
